#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   6.10303e+06      74444.6
        0.01    6.0113e+06      73115.9
        0.02   5.74447e+06      69372.9
        0.03   5.32639e+06      63869.4
        0.04   4.79319e+06      57468.4
        0.05   4.18851e+06      50988.2
        0.06   3.55799e+06      44993.4
        0.07   2.94389e+06      39337.3
        0.08   2.38058e+06      34317.6
        0.09   1.89172e+06      29856.3
         0.1   1.48914e+06      25865.6
        0.11   1.17361e+06      22167.2
        0.12        936968      18799.7
        0.13        765184      15593.6
        0.14        641683      13203.9
        0.15        550340      11593.2
        0.16        477725        10750
        0.17        414360      10548.6
        0.18        354983      10643.4
        0.19        297999      10552.1
         0.2        244389       9938.4
        0.21        196435      8878.82
        0.22        156534      7676.24
        0.23        126331      6514.79
        0.24        106262      5429.03
        0.25       95502.5      4507.38
        0.26       92231.6      4030.98
        0.27       94076.7      3988.69
        0.28       98596.3      4088.65
        0.29        103685      4117.52
         0.3        107829      3999.81
        0.31        110190      3770.61
        0.32        110540       3471.3
        0.33        109097      3146.89
        0.34        106316      2826.32
        0.35        102700       2526.1
        0.36       98660.8      2258.54
        0.37       94449.2      2035.26
        0.38       90153.6      1864.81
        0.39         85747      1748.31
         0.4       81158.3      1677.35
        0.41       76342.3      1635.77
        0.42       71328.9      1604.54
        0.43       66241.5      1567.91
        0.44       61284.1      1517.76
        0.45       56704.7      1453.82
        0.46       52746.4      1379.13
        0.47         49600      1294.41
        0.48       47369.1      1197.33
        0.49       46053.3      1088.94
         0.5       45552.5      979.543
        0.51       45688.1      919.411
        0.52       46235.8      884.033
        0.53       46961.6      861.047
        0.54       47655.2      847.051
        0.55       48154.4      837.503
        0.56       48358.6      828.107
        0.57       48230.8      815.834
        0.58       47789.4       799.43
        0.59         47094      779.417
         0.6       46226.9      757.751
        0.61       45275.5      737.242
        0.62       44317.2       720.79
        0.63       43408.4      710.534
        0.64         42579      707.195
        0.65       41831.3      709.906
        0.66       41082.6      686.557
        0.67       40453.8      676.989
        0.68         39783      670.953
        0.69       39014.9       735.05
         0.7         38182      677.292
        0.71       37194.7      734.287
        0.72       35990.2      653.578
        0.73       34706.8      700.307
        0.74       33261.1      629.962
        0.75       31779.8      646.618
        0.76       30031.4      622.536
        0.77       28402.5      591.309
        0.78       26706.6      563.526
        0.79       25085.3      559.792
         0.8       23572.5      510.606
        0.81       22188.1      484.275
        0.82       20817.9      464.337
        0.83       19721.3      438.377
        0.84       18745.7      439.918
        0.85       17790.3      430.834
        0.86       17049.6      422.112
        0.87       16392.8      427.562
        0.88       15805.6       422.98
        0.89       15240.6      416.438
         0.9       14711.4      420.356
        0.91       14168.9      429.516
        0.92       13648.2      427.999
        0.93       13096.7      415.944
        0.94       12521.3      403.579
        0.95       12064.7      400.859
        0.96       11734.6      390.116
        0.97         11282       379.43
        0.98       11186.2       366.16
        0.99       11080.5      341.162
           1         11245       353.38
