#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   6.37456e+06       101065
        0.01   6.27299e+06      99040.3
        0.02   5.97776e+06      93432.9
        0.03   5.51591e+06      85468.1
        0.04   4.92822e+06        76668
        0.05   4.26349e+06      68299.7
        0.06   3.57218e+06      61029.2
        0.07   2.90042e+06      54775.7
        0.08   2.28514e+06      49361.2
        0.09   1.75137e+06      44997.7
         0.1   1.31146e+06      41642.7
        0.11        966373        38927
        0.12        708234      36014.4
        0.13        523623      32429.9
        0.14        396805      27701.4
        0.15        312400      23119.1
        0.16        257164      19694.2
        0.17        220834      18340.3
        0.18        196166      18479.9
        0.19        178463      18190.6
         0.2        164865      16740.3
        0.21        153665      14526.8
        0.22        143792      12065.3
        0.23        134519      9989.18
        0.24        125350      8198.64
        0.25        116014      6735.82
        0.26        106483      5723.84
        0.27       96961.1      5240.45
        0.28       87817.9      5178.48
        0.29       79486.4      5255.32
         0.3         72351      5199.03
        0.31       66660.1      4896.81
        0.32       62484.5       4430.3
        0.33       59722.6      3973.61
        0.34       58146.1      3628.43
        0.35         57461      3382.29
        0.36       57368.6      3186.68
        0.37       57608.9      3010.22
        0.38       57984.4      2835.51
        0.39         58363      2649.24
         0.4       58669.7      2444.78
        0.41       58872.3      2226.05
        0.42       58968.9      2005.43
        0.43       58976.5      1797.55
        0.44         58923      1612.42
        0.45       58838.5      1450.68
        0.46       58745.8      1346.74
        0.47       58650.2      1290.11
        0.48       58529.6      1250.36
        0.49       58329.8      1226.53
         0.5         57966      1219.15
        0.51         57334      1226.03
        0.52       56328.6      1240.13
        0.53       54866.8      1251.07
        0.54       52910.4      1249.19
        0.55       50481.9      1229.06
        0.56       47668.2      1190.78
        0.57       44611.1      1138.86
        0.58       41672.1      1023.33
        0.59       38498.1      988.138
         0.6       35859.5      946.261
        0.61       33258.7      889.041
        0.62       31302.6      843.549
        0.63       29530.1      826.904
        0.64       28186.1      789.417
        0.65       26916.4      779.362
        0.66       25944.8      790.431
        0.67       25020.7      749.293
        0.68       24172.7      738.181
        0.69         23477      732.994
         0.7       22903.9       727.23
        0.71       22439.9      698.955
        0.72       22254.1      700.563
        0.73       22230.1      702.441
        0.74       22320.4       709.55
        0.75       22490.4      656.036
        0.76       22565.8      686.311
        0.77       22670.8      690.923
        0.78       22684.7      658.674
        0.79       22685.3      631.686
         0.8       22502.4      619.569
        0.81       22340.1      590.751
        0.82       21995.1      577.345
        0.83       21760.4      571.709
        0.84       21440.5      565.265
        0.85       21111.6      563.376
        0.86       20786.4      578.304
        0.87       20536.3      572.829
        0.88       20344.9      561.525
        0.89       20025.7      574.961
         0.9       19880.1      547.314
        0.91       19585.6      532.023
        0.92       19468.5      528.204
        0.93       19217.7      512.088
        0.94       19089.2       526.97
        0.95       18999.7      508.309
        0.96       18883.4      492.497
        0.97         18799      490.706
        0.98       18801.8      475.524
        0.99         18730      488.738
           1       18628.9      482.315
